"","yan"
"6321","CD4+ T cell"
"6322","CD4+ T cell"
"6323","CD4+ T cell"
"6324","CD4+ T cell"
"6325","CD4+ T cell"
"6326","CD4+ T cell"
"6327","Cytotoxic T cell"
"6328","unassigned"
"6329","CD4+ T cell"
"6330","Dendritic cell"
"6331","CD4+ T cell"
"6332","CD4+ T cell"
"6333","Dendritic cell"
"6334","unassigned"
"6335","CD4+ T cell"
"6336","CD4+ T cell"
"6337","Cytotoxic T cell"
"6338","unassigned"
"6339","CD4+ T cell"
"6340","CD4+ T cell"
"6341","CD4+ T cell"
"6342","Dendritic cell"
"6343","unassigned"
"6344","CD4+ T cell"
"6345","CD4+ T cell"
"6346","Cytotoxic T cell"
"6347","Dendritic cell"
"6348","Dendritic cell"
"6349","Cytotoxic T cell"
"6350","unassigned"
"6351","Cytotoxic T cell"
"6352","CD4+ T cell"
"6353","unassigned"
"6354","unassigned"
"6355","unassigned"
"6356","CD4+ T cell"
"6357","unassigned"
"6358","CD4+ T cell"
"6359","unassigned"
"6360","CD4+ T cell"
"6361","CD4+ T cell"
"6362","CD4+ T cell"
"6363","Cytotoxic T cell"
"6364","unassigned"
"6365","CD4+ T cell"
"6366","unassigned"
"6367","CD4+ T cell"
"6368","unassigned"
"6369","CD4+ T cell"
"6370","CD4+ T cell"
"6371","unassigned"
"6372","unassigned"
"6373","CD4+ T cell"
"6374","Cytotoxic T cell"
"6375","Cytotoxic T cell"
"6376","CD4+ T cell"
"6377","unassigned"
"6378","Dendritic cell"
"6379","unassigned"
"6380","CD4+ T cell"
"6381","Cytotoxic T cell"
"6382","CD4+ T cell"
"6383","CD4+ T cell"
"6384","CD4+ T cell"
"6385","Dendritic cell"
"6386","CD4+ T cell"
"6387","unassigned"
"6388","CD4+ T cell"
"6389","unassigned"
"6390","Cytotoxic T cell"
"6391","CD4+ T cell"
"6392","Cytotoxic T cell"
"6393","Cytotoxic T cell"
"6394","CD4+ T cell"
"6395","CD4+ T cell"
"6396","unassigned"
"6397","CD4+ T cell"
"6398","CD4+ T cell"
"6399","CD4+ T cell"
"6400","Dendritic cell"
"6401","Cytotoxic T cell"
"6402","CD4+ T cell"
"6403","unassigned"
"6404","CD4+ T cell"
"6405","Cytotoxic T cell"
"6406","Cytotoxic T cell"
"6407","unassigned"
"6408","Cytotoxic T cell"
"6409","unassigned"
"6410","CD4+ T cell"
"6411","CD4+ T cell"
"6412","Cytotoxic T cell"
"6413","Cytotoxic T cell"
"6414","Cytotoxic T cell"
"6415","CD4+ T cell"
"6416","CD4+ T cell"
"6417","CD4+ T cell"
"6418","unassigned"
"6419","CD4+ T cell"
"6420","CD4+ T cell"
"6421","Dendritic cell"
"6422","CD4+ T cell"
"6423","Cytotoxic T cell"
"6424","unassigned"
"6425","CD4+ T cell"
"6426","Cytotoxic T cell"
"6427","Cytotoxic T cell"
"6428","unassigned"
"6429","CD4+ T cell"
"6430","unassigned"
"6431","CD4+ T cell"
"6432","CD4+ T cell"
"6433","Cytotoxic T cell"
"6434","Cytotoxic T cell"
"6435","CD4+ T cell"
"6436","unassigned"
"6437","Cytotoxic T cell"
"6438","unassigned"
"6439","CD4+ T cell"
"6440","Cytotoxic T cell"
"6441","CD4+ T cell"
"6442","CD4+ T cell"
"6443","unassigned"
"6444","unassigned"
"6445","Cytotoxic T cell"
"6446","CD4+ T cell"
"6447","CD4+ T cell"
"6448","unassigned"
"6449","Cytotoxic T cell"
"6450","CD4+ T cell"
"6451","Dendritic cell"
"6452","CD4+ T cell"
"6453","unassigned"
"6454","CD4+ T cell"
"6455","CD4+ T cell"
"6456","unassigned"
"6457","unassigned"
"6458","CD4+ T cell"
"6459","Cytotoxic T cell"
"6460","Cytotoxic T cell"
"6461","unassigned"
"6462","CD4+ T cell"
"6463","CD4+ T cell"
"6464","Dendritic cell"
"6465","Cytotoxic T cell"
"6466","CD4+ T cell"
"6467","CD4+ T cell"
"6468","unassigned"
"6469","CD4+ T cell"
"6470","CD4+ T cell"
"6471","CD4+ T cell"
"6472","Cytotoxic T cell"
"6473","CD4+ T cell"
"6474","Cytotoxic T cell"
"6475","CD4+ T cell"
"6476","Cytotoxic T cell"
"6477","Dendritic cell"
"6478","Cytotoxic T cell"
"6479","Cytotoxic T cell"
"6480","unassigned"
"6481","CD4+ T cell"
"6482","CD4+ T cell"
"6483","Dendritic cell"
"6484","unassigned"
"6485","CD4+ T cell"
"6486","CD4+ T cell"
"6487","CD4+ T cell"
"6488","CD4+ T cell"
"6489","CD4+ T cell"
"6490","CD4+ T cell"
"6491","CD4+ T cell"
"6492","CD4+ T cell"
"6493","CD4+ T cell"
"6494","CD4+ T cell"
"6495","unassigned"
"6496","CD4+ T cell"
"6497","CD4+ T cell"
"6498","Dendritic cell"
"6499","unassigned"
"6500","Cytotoxic T cell"
"6501","CD4+ T cell"
"6502","Cytotoxic T cell"
"6503","unassigned"
"6504","unassigned"
"6505","CD4+ T cell"
"6506","CD4+ T cell"
"6507","Cytotoxic T cell"
"6508","unassigned"
"6509","CD4+ T cell"
"6510","CD4+ T cell"
"6511","CD4+ T cell"
"6512","CD4+ T cell"
"6513","Cytotoxic T cell"
"6514","CD4+ T cell"
"6515","CD4+ T cell"
"6516","CD4+ T cell"
"6517","unassigned"
"6518","CD4+ T cell"
"6519","CD4+ T cell"
"6520","CD4+ T cell"
"6521","unassigned"
"6522","CD4+ T cell"
"6523","CD4+ T cell"
"6524","CD4+ T cell"
"6525","CD4+ T cell"
"6526","unassigned"
"6527","CD4+ T cell"
"6528","CD4+ T cell"
"6529","CD4+ T cell"
"6530","CD4+ T cell"
"6531","CD4+ T cell"
"6532","CD4+ T cell"
"6533","CD4+ T cell"
"6534","Cytotoxic T cell"
"6535","CD4+ T cell"
"6536","unassigned"
"6537","unassigned"
"6538","CD4+ T cell"
"6539","Cytotoxic T cell"
"6540","CD4+ T cell"
"6541","CD4+ T cell"
"6542","unassigned"
"6543","CD4+ T cell"
"6544","Cytotoxic T cell"
"6545","CD4+ T cell"
"6546","Cytotoxic T cell"
"6547","CD4+ T cell"
"6548","unassigned"
"6549","Dendritic cell"
"6550","Cytotoxic T cell"
"6551","CD4+ T cell"
"6552","Cytotoxic T cell"
"6553","CD4+ T cell"
"6554","CD4+ T cell"
"6555","Cytotoxic T cell"
"6556","unassigned"
"6557","Cytotoxic T cell"
"6558","unassigned"
"6559","CD4+ T cell"
"6560","CD4+ T cell"
"6561","Cytotoxic T cell"
"6562","CD4+ T cell"
"6563","CD4+ T cell"
"6564","unassigned"
"6565","CD4+ T cell"
"6566","Cytotoxic T cell"
"6567","unassigned"
"6568","Cytotoxic T cell"
"6569","CD4+ T cell"
"6570","unassigned"
"6571","CD4+ T cell"
"6572","CD4+ T cell"
"6573","Dendritic cell"
"6574","CD4+ T cell"
"6575","unassigned"
"6576","CD4+ T cell"
"6577","unassigned"
"6578","Cytotoxic T cell"
"6579","CD4+ T cell"
"6580","CD4+ T cell"
"6581","Cytotoxic T cell"
"6582","CD4+ T cell"
"6583","Dendritic cell"
"6584","CD4+ T cell"
"6585","CD4+ T cell"
"6586","Dendritic cell"
"6587","CD4+ T cell"
"6588","unassigned"
"6589","CD4+ T cell"
"6590","unassigned"
"6591","CD4+ T cell"
"6592","CD4+ T cell"
"6593","unassigned"
"6594","CD4+ T cell"
"6595","CD4+ T cell"
"6596","CD4+ T cell"
"6597","CD4+ T cell"
"6598","CD4+ T cell"
"6599","CD4+ T cell"
"6600","Cytotoxic T cell"
"6601","CD4+ T cell"
"6602","Cytotoxic T cell"
"6603","Dendritic cell"
"6604","CD4+ T cell"
"6605","Cytotoxic T cell"
"6606","CD4+ T cell"
"6607","CD4+ T cell"
"6608","Cytotoxic T cell"
"6609","CD4+ T cell"
"6610","Dendritic cell"
"6611","CD4+ T cell"
"6612","Dendritic cell"
"6613","Cytotoxic T cell"
"6614","unassigned"
"6615","Cytotoxic T cell"
"6616","unassigned"
"6617","unassigned"
"6618","CD4+ T cell"
"6619","CD4+ T cell"
"6620","Dendritic cell"
"6621","CD4+ T cell"
"6622","CD4+ T cell"
"6623","Cytotoxic T cell"
"6624","Cytotoxic T cell"
"6625","CD4+ T cell"
"6626","Cytotoxic T cell"
"6627","CD4+ T cell"
"6628","CD4+ T cell"
"6629","Cytotoxic T cell"
"6630","CD4+ T cell"
"6631","Cytotoxic T cell"
"6632","Cytotoxic T cell"
"6633","unassigned"
"6634","Cytotoxic T cell"
"6635","Cytotoxic T cell"
"6636","CD4+ T cell"
"6637","Cytotoxic T cell"
"6638","CD4+ T cell"
"6639","Cytotoxic T cell"
"6640","CD4+ T cell"
"6641","unassigned"
"6642","Cytotoxic T cell"
"6643","unassigned"
"6644","CD4+ T cell"
"6645","CD4+ T cell"
"6646","CD4+ T cell"
"6647","CD4+ T cell"
"6648","unassigned"
"6649","CD4+ T cell"
"6650","Dendritic cell"
"6651","unassigned"
"6652","CD4+ T cell"
"6653","CD4+ T cell"
"6654","CD4+ T cell"
"6655","Cytotoxic T cell"
"6656","unassigned"
"6657","CD4+ T cell"
"6658","unassigned"
"6659","Dendritic cell"
"6660","Cytotoxic T cell"
"6661","Cytotoxic T cell"
"6662","unassigned"
"6663","Cytotoxic T cell"
"6664","Cytotoxic T cell"
"6665","CD4+ T cell"
"6666","unassigned"
"6667","unassigned"
"6668","CD4+ T cell"
"6669","CD4+ T cell"
"6670","CD4+ T cell"
"6671","Dendritic cell"
"6672","CD4+ T cell"
"6673","Cytotoxic T cell"
"6674","CD4+ T cell"
"6675","CD4+ T cell"
"6676","CD4+ T cell"
"6677","CD4+ T cell"
"6678","unassigned"
"6679","CD4+ T cell"
"6680","CD4+ T cell"
"6681","CD4+ T cell"
"6682","CD4+ T cell"
"6683","Cytotoxic T cell"
"6684","unassigned"
"6685","CD4+ T cell"
"6686","Cytotoxic T cell"
"6687","Dendritic cell"
"6688","unassigned"
"6689","CD4+ T cell"
"6690","CD4+ T cell"
"6691","CD4+ T cell"
"6692","CD4+ T cell"
"6693","CD4+ T cell"
"6694","CD4+ T cell"
"6695","CD4+ T cell"
"6696","CD4+ T cell"
"6697","unassigned"
"6698","CD4+ T cell"
"6699","Cytotoxic T cell"
"6700","Cytotoxic T cell"
"6701","Cytotoxic T cell"
"6702","Cytotoxic T cell"
"6703","CD4+ T cell"
"6704","Cytotoxic T cell"
"6705","CD4+ T cell"
"6706","CD4+ T cell"
"6707","unassigned"
"6708","Cytotoxic T cell"
"6709","Cytotoxic T cell"
"6710","CD4+ T cell"
"6711","CD4+ T cell"
"6712","CD4+ T cell"
"6713","CD4+ T cell"
"6714","CD4+ T cell"
"6715","CD4+ T cell"
"6716","CD4+ T cell"
"6717","CD4+ T cell"
"6718","CD4+ T cell"
"6719","CD4+ T cell"
"6720","CD4+ T cell"
"6721","CD4+ T cell"
"6722","CD4+ T cell"
"6723","CD4+ T cell"
"6724","CD4+ T cell"
"6725","Cytotoxic T cell"
"6726","CD4+ T cell"
"6727","CD4+ T cell"
"6728","CD4+ T cell"
"6729","unassigned"
"6730","CD4+ T cell"
"6731","Cytotoxic T cell"
"6732","Cytotoxic T cell"
"6733","Dendritic cell"
"6734","CD4+ T cell"
"6735","CD4+ T cell"
"6736","CD4+ T cell"
"6737","CD4+ T cell"
"6738","unassigned"
"6739","Dendritic cell"
"6740","unassigned"
"6741","CD4+ T cell"
"6742","CD4+ T cell"
"6743","Dendritic cell"
"6744","Cytotoxic T cell"
"6745","CD4+ T cell"
"6746","CD4+ T cell"
"6747","Cytotoxic T cell"
"6748","Cytotoxic T cell"
"6749","unassigned"
"6750","CD4+ T cell"
"6751","CD4+ T cell"
"6752","CD4+ T cell"
"6753","unassigned"
"6754","unassigned"
"6755","CD4+ T cell"
"6756","unassigned"
"6757","Dendritic cell"
"6758","unassigned"
"6759","unassigned"
"6760","unassigned"
"6761","CD4+ T cell"
"6762","CD4+ T cell"
"6763","unassigned"
"6764","unassigned"
"6765","Cytotoxic T cell"
"6766","CD4+ T cell"
"6767","unassigned"
"6768","CD4+ T cell"
"6769","CD4+ T cell"
"6770","CD4+ T cell"
"6771","unassigned"
"6772","Cytotoxic T cell"
"6773","unassigned"
"6774","unassigned"
"6775","CD4+ T cell"
"6776","Dendritic cell"
"6777","CD4+ T cell"
"6778","unassigned"
"6779","CD4+ T cell"
"6780","CD4+ T cell"
"6781","unassigned"
"6782","Cytotoxic T cell"
"6783","Cytotoxic T cell"
"6784","unassigned"
"6785","CD4+ T cell"
"6786","CD4+ T cell"
"6787","Dendritic cell"
"6788","CD4+ T cell"
"6789","CD4+ T cell"
"6790","unassigned"
"6791","CD4+ T cell"
"6792","CD4+ T cell"
"6793","unassigned"
"6794","unassigned"
"6795","CD4+ T cell"
"6796","Cytotoxic T cell"
"6797","unassigned"
"6798","B cell"
"6799","CD4+ T cell"
"6800","Dendritic cell"
"6801","CD4+ T cell"
"6802","CD4+ T cell"
"6803","Dendritic cell"
"6804","Cytotoxic T cell"
"6805","CD4+ T cell"
"6806","CD4+ T cell"
"6807","CD4+ T cell"
"6808","unassigned"
"6809","CD4+ T cell"
"6810","unassigned"
"6811","CD4+ T cell"
"6812","CD4+ T cell"
"6813","CD4+ T cell"
"6814","CD4+ T cell"
"6815","Cytotoxic T cell"
"6816","unassigned"
"6817","Cytotoxic T cell"
"6818","Cytotoxic T cell"
"6819","Cytotoxic T cell"
"6820","CD4+ T cell"
"6821","unassigned"
"6822","CD4+ T cell"
"6823","CD4+ T cell"
"6824","CD4+ T cell"
"6825","unassigned"
"6826","Cytotoxic T cell"
"6827","Cytotoxic T cell"
"6828","Cytotoxic T cell"
"6829","unassigned"
"6830","unassigned"
"6831","unassigned"
"6832","unassigned"
"6833","CD4+ T cell"
"6834","CD4+ T cell"
"6835","unassigned"
"6836","CD4+ T cell"
"6837","Cytotoxic T cell"
"6838","CD4+ T cell"
"6839","CD4+ T cell"
"6840","Cytotoxic T cell"
"6841","unassigned"
"6842","unassigned"
"6843","CD4+ T cell"
"6844","CD4+ T cell"
"6845","Dendritic cell"
"6846","Cytotoxic T cell"
"6847","CD4+ T cell"
"6848","unassigned"
"6849","Cytotoxic T cell"
"6850","CD4+ T cell"
"6851","unassigned"
"6852","unassigned"
"6853","CD4+ T cell"
"6854","Dendritic cell"
"6855","CD4+ T cell"
"6856","unassigned"
"6857","Dendritic cell"
"6858","CD4+ T cell"
"6859","CD4+ T cell"
"6860","Dendritic cell"
"6861","Dendritic cell"
"6862","Cytotoxic T cell"
"6863","CD4+ T cell"
"6864","Cytotoxic T cell"
"6865","unassigned"
"6866","unassigned"
"6867","unassigned"
"6868","Cytotoxic T cell"
"6869","Cytotoxic T cell"
"6870","Cytotoxic T cell"
"6871","CD4+ T cell"
"6872","unassigned"
"6873","unassigned"
"6874","unassigned"
"6875","CD4+ T cell"
"6876","Cytotoxic T cell"
"6877","Cytotoxic T cell"
"6878","unassigned"
"6879","unassigned"
"6880","unassigned"
"6881","Dendritic cell"
"6882","CD4+ T cell"
"6883","CD4+ T cell"
"6884","unassigned"
"6885","CD4+ T cell"
"6886","Dendritic cell"
"6887","Dendritic cell"
"6888","Cytotoxic T cell"
"6889","CD4+ T cell"
"6890","CD4+ T cell"
"6891","unassigned"
"6892","CD4+ T cell"
"6893","Cytotoxic T cell"
"6894","CD4+ T cell"
"6895","unassigned"
"6896","Cytotoxic T cell"
"6897","CD4+ T cell"
"6898","unassigned"
"6899","unassigned"
"6900","CD4+ T cell"
"6901","unassigned"
"6902","Cytotoxic T cell"
"6903","CD4+ T cell"
"6904","Dendritic cell"
"6905","Dendritic cell"
"6906","Cytotoxic T cell"
"6907","CD4+ T cell"
"6908","CD4+ T cell"
"6909","unassigned"
"6910","unassigned"
"6911","CD4+ T cell"
"6912","unassigned"
"6913","CD4+ T cell"
"6914","CD4+ T cell"
"6915","Cytotoxic T cell"
"6916","Cytotoxic T cell"
"6917","CD4+ T cell"
"6918","CD4+ T cell"
"6919","CD4+ T cell"
"6920","CD4+ T cell"
"6921","unassigned"
"6922","Cytotoxic T cell"
"6923","CD4+ T cell"
"6924","unassigned"
"6925","CD4+ T cell"
"6926","CD4+ T cell"
"6927","Dendritic cell"
"6928","Cytotoxic T cell"
"6929","CD4+ T cell"
"6930","Cytotoxic T cell"
"6931","Dendritic cell"
"6932","CD4+ T cell"
"6933","Dendritic cell"
"6934","Dendritic cell"
"6935","unassigned"
"6936","CD4+ T cell"
"6937","unassigned"
"6938","Dendritic cell"
"6939","unassigned"
"6940","CD4+ T cell"
"6941","CD4+ T cell"
"6942","Cytotoxic T cell"
"6943","CD4+ T cell"
"6944","Cytotoxic T cell"
"6945","Cytotoxic T cell"
"6946","CD4+ T cell"
"6947","unassigned"
"6948","CD4+ T cell"
"6949","unassigned"
"6950","Cytotoxic T cell"
"6951","unassigned"
"6952","unassigned"
"6953","CD4+ T cell"
"6954","Cytotoxic T cell"
"6955","unassigned"
"6956","CD4+ T cell"
"6957","CD4+ T cell"
"6958","unassigned"
"6959","CD4+ T cell"
"6960","unassigned"
"6961","Cytotoxic T cell"
"6962","unassigned"
"6963","CD4+ T cell"
"6964","Dendritic cell"
"6965","Cytotoxic T cell"
"6966","CD4+ T cell"
"6967","Dendritic cell"
"6968","CD4+ T cell"
"6969","Cytotoxic T cell"
"6970","CD4+ T cell"
"6971","Cytotoxic T cell"
"6972","unassigned"
"6973","CD4+ T cell"
"6974","Cytotoxic T cell"
"6975","CD4+ T cell"
"6976","CD4+ T cell"
"6977","Cytotoxic T cell"
"6978","CD4+ T cell"
"6979","CD4+ T cell"
"6980","Cytotoxic T cell"
"6981","CD4+ T cell"
"6982","CD4+ T cell"
"6983","Dendritic cell"
"6984","unassigned"
"6985","unassigned"
"6986","CD4+ T cell"
"6987","CD4+ T cell"
"6988","CD4+ T cell"
"6989","Cytotoxic T cell"
"6990","CD4+ T cell"
"6991","CD4+ T cell"
"6992","Cytotoxic T cell"
"6993","CD4+ T cell"
"6994","unassigned"
"6995","CD4+ T cell"
"6996","Cytotoxic T cell"
"6997","CD4+ T cell"
"6998","CD4+ T cell"
"6999","CD4+ T cell"
"7000","unassigned"
"7001","unassigned"
"7002","unassigned"
"7003","CD4+ T cell"
"7004","CD4+ T cell"
"7005","CD4+ T cell"
"7006","CD4+ T cell"
"7007","unassigned"
"7008","CD4+ T cell"
"7009","CD4+ T cell"
"7010","Cytotoxic T cell"
"7011","CD4+ T cell"
"7012","Cytotoxic T cell"
"7013","unassigned"
"7014","unassigned"
"7015","CD4+ T cell"
"7016","CD4+ T cell"
"7017","CD4+ T cell"
"7018","unassigned"
"7019","CD4+ T cell"
"7020","CD4+ T cell"
"7021","unassigned"
"7022","Cytotoxic T cell"
"7023","CD4+ T cell"
"7024","Cytotoxic T cell"
"7025","CD4+ T cell"
"7026","unassigned"
"7027","Cytotoxic T cell"
"7028","Cytotoxic T cell"
"7029","Dendritic cell"
"7030","unassigned"
"7031","CD4+ T cell"
"7032","CD4+ T cell"
"7033","unassigned"
"7034","Dendritic cell"
"7035","Dendritic cell"
"7036","CD4+ T cell"
"7037","CD4+ T cell"
"7038","Dendritic cell"
"7039","Cytotoxic T cell"
"7040","Cytotoxic T cell"
"7041","unassigned"
"7042","unassigned"
"7043","CD4+ T cell"
"7044","Cytotoxic T cell"
"7045","CD4+ T cell"
"7046","Cytotoxic T cell"
"7047","unassigned"
"7048","CD4+ T cell"
"7049","CD4+ T cell"
"7050","Cytotoxic T cell"
"7051","Cytotoxic T cell"
"7052","CD4+ T cell"
"7053","unassigned"
"7054","CD4+ T cell"
"7055","CD4+ T cell"
"7056","CD4+ T cell"
"7057","Cytotoxic T cell"
"7058","CD4+ T cell"
"7059","CD4+ T cell"
"7060","Dendritic cell"
"7061","Cytotoxic T cell"
"7062","CD4+ T cell"
"7063","CD4+ T cell"
"7064","unassigned"
"7065","unassigned"
"7066","unassigned"
"7067","CD4+ T cell"
"7068","CD4+ T cell"
"7069","Cytotoxic T cell"
"7070","Dendritic cell"
"7071","Cytotoxic T cell"
"7072","unassigned"
"7073","CD4+ T cell"
"7074","CD4+ T cell"
"7075","CD4+ T cell"
"7076","CD4+ T cell"
"7077","unassigned"
"7078","unassigned"
"7079","CD4+ T cell"
"7080","Cytotoxic T cell"
"7081","CD4+ T cell"
"7082","Dendritic cell"
"7083","CD4+ T cell"
"7084","Cytotoxic T cell"
"7085","CD4+ T cell"
"7086","Cytotoxic T cell"
"7087","unassigned"
"7088","unassigned"
"7089","CD4+ T cell"
"7090","CD4+ T cell"
"7091","CD4+ T cell"
"7092","CD4+ T cell"
"7093","CD4+ T cell"
"7094","Cytotoxic T cell"
"7095","Cytotoxic T cell"
"7096","Cytotoxic T cell"
"7097","CD4+ T cell"
"7098","unassigned"
"7099","CD4+ T cell"
"7100","Cytotoxic T cell"
"7101","unassigned"
"7102","CD4+ T cell"
"7103","CD4+ T cell"
"7104","unassigned"
"7105","Cytotoxic T cell"
"7106","unassigned"
"7107","unassigned"
"7108","unassigned"
"7109","unassigned"
"7110","unassigned"
"7111","unassigned"
"7112","unassigned"
"7113","Cytotoxic T cell"
"7114","unassigned"
"7115","CD4+ T cell"
"7116","CD4+ T cell"
"7117","unassigned"
"7118","unassigned"
"7119","unassigned"
"7120","unassigned"
"7121","unassigned"
"7122","CD4+ T cell"
"7123","CD4+ T cell"
"7124","Cytotoxic T cell"
"7125","CD4+ T cell"
"7126","CD4+ T cell"
"7127","CD4+ T cell"
"7128","Cytotoxic T cell"
"7129","unassigned"
"7130","CD4+ T cell"
"7131","Cytotoxic T cell"
"7132","unassigned"
"7133","Cytotoxic T cell"
"7134","CD4+ T cell"
"7135","unassigned"
"7136","CD4+ T cell"
"7137","Cytotoxic T cell"
"7138","Cytotoxic T cell"
"7139","CD4+ T cell"
"7140","CD4+ T cell"
"7141","CD4+ T cell"
"7142","unassigned"
"7143","unassigned"
"7144","Cytotoxic T cell"
"7145","Cytotoxic T cell"
"7146","CD4+ T cell"
"7147","Cytotoxic T cell"
"7148","unassigned"
"7149","CD4+ T cell"
"7150","CD4+ T cell"
"7151","Cytotoxic T cell"
"7152","unassigned"
"7153","unassigned"
"7154","unassigned"
"7155","CD4+ T cell"
"7156","CD4+ T cell"
"7157","Cytotoxic T cell"
"7158","CD4+ T cell"
"7159","CD4+ T cell"
"7160","unassigned"
"7161","CD4+ T cell"
"7162","unassigned"
"7163","CD4+ T cell"
"7164","CD4+ T cell"
"7165","CD4+ T cell"
"7166","unassigned"
"7167","CD4+ T cell"
"7168","Dendritic cell"
"7169","unassigned"
"7170","unassigned"
"7171","CD4+ T cell"
"7172","Cytotoxic T cell"
"7173","CD4+ T cell"
"7174","unassigned"
"7175","unassigned"
"7176","unassigned"
"7177","unassigned"
"7178","Dendritic cell"
"7179","CD4+ T cell"
"7180","CD4+ T cell"
"7181","CD4+ T cell"
"7182","CD4+ T cell"
"7183","unassigned"
"7184","CD4+ T cell"
"7185","Dendritic cell"
"7186","Dendritic cell"
"7187","Cytotoxic T cell"
"7188","CD4+ T cell"
"7189","CD4+ T cell"
"7190","CD4+ T cell"
"7191","Dendritic cell"
"7192","Cytotoxic T cell"
"7193","CD4+ T cell"
"7194","CD4+ T cell"
"7195","Cytotoxic T cell"
"7196","Cytotoxic T cell"
"7197","unassigned"
"7198","CD4+ T cell"
"7199","Cytotoxic T cell"
"7200","unassigned"
"7201","Cytotoxic T cell"
"7202","unassigned"
"7203","Cytotoxic T cell"
"7204","unassigned"
"7205","unassigned"
"7206","CD4+ T cell"
"7207","Cytotoxic T cell"
"7208","CD4+ T cell"
"7209","CD4+ T cell"
"7210","CD4+ T cell"
"7211","Cytotoxic T cell"
"7212","Cytotoxic T cell"
"7213","Cytotoxic T cell"
"7214","Cytotoxic T cell"
"7215","Cytotoxic T cell"
"7216","Dendritic cell"
"7217","Dendritic cell"
"7218","Cytotoxic T cell"
"7219","Cytotoxic T cell"
"7220","CD4+ T cell"
"7221","unassigned"
"7222","Dendritic cell"
"7223","Cytotoxic T cell"
"7224","Cytotoxic T cell"
"7225","Dendritic cell"
"7226","Cytotoxic T cell"
"7227","Cytotoxic T cell"
"7228","unassigned"
"7229","unassigned"
"7230","unassigned"
"7231","unassigned"
"7232","Plasmacytoid dendritic cell"
"7233","CD4+ T cell"
"7234","Cytotoxic T cell"
"7235","CD4+ T cell"
"7236","Cytotoxic T cell"
"7237","Cytotoxic T cell"
"7238","Cytotoxic T cell"
"7239","Cytotoxic T cell"
"7240","CD4+ T cell"
"7241","Cytotoxic T cell"
"7242","CD4+ T cell"
"7243","unassigned"
"7244","Cytotoxic T cell"
"7245","CD4+ T cell"
"7246","Dendritic cell"
"7247","CD4+ T cell"
"7248","CD4+ T cell"
"7249","unassigned"
"7250","Cytotoxic T cell"
"7251","Cytotoxic T cell"
"7252","unassigned"
"7253","Dendritic cell"
"7254","unassigned"
"7255","Cytotoxic T cell"
"7256","Dendritic cell"
"7257","Dendritic cell"
"7258","Cytotoxic T cell"
"7259","CD4+ T cell"
"7260","Dendritic cell"
"7261","unassigned"
"7262","Cytotoxic T cell"
"7263","unassigned"
"7264","CD4+ T cell"
"7265","Cytotoxic T cell"
"7266","Cytotoxic T cell"
"7267","Cytotoxic T cell"
"7268","CD4+ T cell"
"7269","Cytotoxic T cell"
"7270","Cytotoxic T cell"
"7271","Cytotoxic T cell"
"7272","unassigned"
"7273","unassigned"
"7274","Dendritic cell"
"7275","unassigned"
"7276","CD4+ T cell"
"7277","Cytotoxic T cell"
"7278","CD4+ T cell"
"7279","unassigned"
"7280","Cytotoxic T cell"
"7281","CD4+ T cell"
"7282","unassigned"
"7283","Cytotoxic T cell"
"7284","unassigned"
"7285","CD4+ T cell"
"7286","CD4+ T cell"
"7287","CD4+ T cell"
"7288","unassigned"
"7289","Cytotoxic T cell"
"7290","CD4+ T cell"
"7291","Cytotoxic T cell"
"7292","CD4+ T cell"
"7293","CD4+ T cell"
"7294","unassigned"
"7295","unassigned"
"7296","Cytotoxic T cell"
"7297","CD4+ T cell"
"7298","unassigned"
"7299","unassigned"
"7300","Dendritic cell"
"7301","unassigned"
"7302","Cytotoxic T cell"
"7303","unassigned"
"7304","unassigned"
"7305","unassigned"
"7306","CD4+ T cell"
"7307","Dendritic cell"
"7308","Cytotoxic T cell"
"7309","CD4+ T cell"
"7310","unassigned"
"7311","Cytotoxic T cell"
"7312","Cytotoxic T cell"
"7313","unassigned"
"7314","unassigned"
"7315","Cytotoxic T cell"
"7316","Cytotoxic T cell"
"7317","Cytotoxic T cell"
"7318","unassigned"
"7319","unassigned"
"7320","unassigned"
"7321","Cytotoxic T cell"
"7322","Cytotoxic T cell"
"7323","unassigned"
"7324","unassigned"
"7325","Cytotoxic T cell"
"7326","Cytotoxic T cell"
"7327","unassigned"
"7328","Cytotoxic T cell"
"7329","unassigned"
"7330","Cytotoxic T cell"
"7331","Cytotoxic T cell"
"7332","unassigned"
"7333","Cytotoxic T cell"
"7334","unassigned"
"7335","unassigned"
"7336","unassigned"
"7337","Cytotoxic T cell"
"7338","CD4+ T cell"
"7339","CD4+ T cell"
"7340","Cytotoxic T cell"
"7341","CD4+ T cell"
"7342","Cytotoxic T cell"
"7343","Dendritic cell"
"7344","Cytotoxic T cell"
"7345","unassigned"
"7346","unassigned"
"7347","unassigned"
"7348","CD4+ T cell"
"7349","unassigned"
"7350","CD4+ T cell"
"7351","Cytotoxic T cell"
"7352","Cytotoxic T cell"
"7353","Cytotoxic T cell"
"7354","CD4+ T cell"
"7355","Cytotoxic T cell"
"7356","unassigned"
"7357","Cytotoxic T cell"
"7358","unassigned"
"7359","Cytotoxic T cell"
"7360","unassigned"
"7361","CD4+ T cell"
"7362","CD4+ T cell"
"7363","unassigned"
"7364","Cytotoxic T cell"
"7365","Cytotoxic T cell"
